E1	E2	Probability	Label
155459	60489	1.0	1
202559	155908	0.004763369	0
302	155030	0.0414488805649	0
3107	156110	0.000276709671737	0
3458	156110	2.38982e-05	0
155030	4261	1.3516798e-06	0
4594	156110	1.5523671e-08	0
4734	155030	0.9815595	0
3576	155971	6.7586355e-13	0
155908	1653	0.302114654907	0
155030	5594	0.00077365583876	0
155971	3576	1.0510232e-12	0
155459	6921	0.157803056456	0
155971	1272	6.303398e-08	0
155908	7514	0.324884580779	0
1673	155871	4.72085903702e-09	0
155971	26996	0.00012647216	0
156110	356	0.00272294264044	0
155459	8065	0.290058135104	0
3958	155871	0.00483886072158	0
6714	156110	2.4467925e-05	0
156110	3458	2.38982e-05	0
100187828	155871	0.00015571486	0
155945	684	0.999998580058	1
155030	51014	2.378444e-13	0
156110	1493	0.000187314860291	0
10462	155030	4.66883450456e-07	0
3836	155807	0.0012701278575	0
1508	155030	1.93025805924e-05	0
10959	155030	0.0119339059317	0
684	155971	4.570257e-06	0
917	156110	7.757827e-05	0
3661	155945	6.72671273915e-05	0
155971	6347	2.48903542055e-06	0
155030	4314	7.6764547e-16	0
156110	6347	3.6113556e-07	0
19	155971	5.689169e-10	0
155971	115362	0.000380001200786	0
7852	156110	0.00028678588651	0
155971	6351	2.2891793e-08	0
6998	155971	2.1189453e-05	0
155030	100862696	0.281815190118	0
2028	155908	4.2005787e-12	0
155807	4790	1.59413463419e-06	0
347376	155030	0.000754778341078	0
3502	155971	0.000139509067194	0
60489	155459	0.997684186898	0
100616444	155030	0.172232742156	0
155030	10015	0.000232910848635	0
54106	155971	6.589326e-10	0
155030	148362	6.526553e-08	0
156110	7124	8.99745334682e-07	0
100689229	155030	8.98798205357e-05	0
155030	100689229	0.0010251690675	0
155030	27074	1.6731232e-08	0
155030	10521	2.717975e-12	0
155030	100616444	0.299071291692	0
1387	155971	3.2845687e-08	0
155945	5817	0.147882748289	0
6285	155908	0.00312067274547	0
155971	801	0.000257876699938	0
310	155030	8.9788434e-09	0
1493	156110	5.8544949687e-06	0
155971	28910	1.6891415e-06	0
155971	3586	3.41539241543e-05	0
6596	155807	0.506242269499	0
155971	4153	6.501248e-05	0
3732	155030	6.625789e-09	0
155971	974	2.027968e-09	0
861	155459	0.0955194185002	0
156110	238	2.3742494e-11	0
1421	155030	0.00053125113	0
156110	3106	0.778657307964	1
155971	3502	7.63464252581e-05	0
156110	5599	1.35717555e-05	0
79966	155971	2.0111267e-07	0
155971	6387	0.158775511047	0
155807	3916	0.0851275	0
653820	155807	3.3902413e-08	0
156110	256987	0.704804709211	0
821	155971	6.17277227111e-08	0
155971	4780	3.92154211371e-05	0
155030	684	4.0970437e-07	0
155030	1629	2.9026626281e-05	0
155030	3565	0.000689056103936	0
8835	155459	0.006104221	0
155348	8941	2.6478397e-10	0
155807	5886	0.044523150591	0
1109	155971	3.1025963e-17	0
5621	155971	0.00018173632	0
1669	155971	0.00352525447135	0
155971	51497	2.07822074716e-06	0
155971	10226	0.00436301529043	0
2720	155971	0.059111137	0
19	156110	8.262229e-06	0
5594	155030	0.000926444861718	0
6402	155030	4.907942e-15	0
155807	3725	0.0056917312835	0
728378	155030	0.00187150182469	0
155971	834	9.989144e-14	0
156110	684	0.125912989138	0
347376	155807	5.737772e-10	0
27067	155908	0.000270854253347	0
865	155459	0.215622608529	0
155971	2745	0.000450250042727	0
3558	155971	4.130694e-07	0
155807	836	0.0016375991	0
22914	155945	0.00857957495274	0
156110	925	2.74138138293e-05	0
256987	156110	0.437454480775	0
920	155971	0.477268656072	0
155459	865	0.762170682422	0
347376	155971	0.0187268225375	0
155971	28299	0.00101021758894	0
155971	2187	0.000317491810312	0
10714	155348	8.9088404e-05	0
155030	3735	0.446414618788	0
156110	7253	8.56468739741e-06	0
156110	60489	0.00804469061477	0
5478	155030	0.142782596008	0
973	155971	2.1771892e-05	0
155971	30816	3.92429846297e-06	0
6737	155030	6.6201574e-07	0
5478	156110	1.91950016645e-05	0
156110	5817	3.74697650048e-05	0
3178	155971	8.121857e-05	0
1029	155030	1.52919196195e-08	0
155971	4843	3.486684e-11	0
925	155459	6.2221184e-10	0
155971	5122	4.15002923138e-07	0
155971	51311	0.040689353	0
54205	155807	9.380989e-12	0
6772	155971	3.2406472e-06	0
653820	155971	2.44092693391e-07	0
155971	19	1.0765199e-09	0
148362	155030	9.984123e-06	0
155971	10959	4.25330214001e-05	0
155971	10410	4.1117446e-06	0
25939	155807	0.0378315788644	0
7020	155971	6.02092597646e-06	0
155030	6737	1.7586417e-05	0
4869	155908	5.2782137745e-06	0
5713	155807	2.4594321e-05	0
156110	4594	2.4637805e-08	0
3777	155945	8.85446563692e-06	0
155908	653108	0.0581071332485	0
155971	4790	4.997782e-10	0
156110	6285	0.264255329325	0
155030	4320	8.658228e-19	0
155908	6285	0.00328734891527	0
155971	54106	5.2589346e-09	0
155908	100271694	3.703358e-12	0
100862696	155030	0.017349812358	0
155030	1421	2.8867937e-05	0
3267	155908	2.1301213e-07	0
155908	10492	0.00119820203081	0
155030	8941	8.172991e-09	0
155807	25939	0.981721781105	0
2332	155908	9.73408186056e-07	0
8065	155459	0.210669580049	0
155807	842	5.964649e-07	0
155348	10714	5.636985e-05	0
6426	155971	3.34788297085e-09	0
3385	155971	0.0204854164185	0
155807	10980	0.001659967	0
155030	10959	0.00338490750508	0
155945	1128	0.033354573	0
155459	200316	0.999998092406	1
5901	155030	3.8142527e-12	0
155971	3700	0.0897757549871	0
6998	155030	5.718395e-08	0
3106	155030	0.00325452568753	0
8941	155348	6.6978484e-12	0
3840	155807	3.50103712243e-07	0
155030	7251	1.79860066691e-05	0
684	155945	0.777212279019	0
30816	155945	0.000175359495021	0
3700	155971	0.0883675362505	0
155908	4869	3.09465662207e-07	0
3135	156110	3.7141506537e-09	0
3603	155971	8.9641117e-07	0
100616444	155945	0.000309504569477	0
7432	155971	5.6197496e-09	0
6693	155971	3.92050119066e-05	0
155908	3267	2.627568e-07	0
155971	4513	8.464715e-11	0
156110	11337	1.2167918e-09	0
156110	1435	0.000581106119973	0
155971	1109	1.4200124e-12	0
156110	2736	0.00684616812706	0
155971	80279	4.7971093764e-10	0
920	155459	6.38740202075e-06	0
155030	1489	1.3358507e-06	0
9733	155871	0.0027935402712	0
155971	347376	0.0187268225375	0
6348	155971	2.43312775261e-07	0
940	156110	4.19209823098e-05	0
155030	5478	0.117316502373	0
920	156110	0.498355689711	0
5062	156110	0.000466865594817	0
155348	10075	2.65318639592e-06	0
155971	5933	1.1773553e-08	0
10980	155807	0.001659967	0
2745	155971	0.00081873028148	0
23547	156110	0.000675582428766	0
5122	155971	0.000447537163297	0
155971	6998	6.101956e-06	0
155030	7329	2.1279406e-05	0
156110	55690	4.832965e-05	0
155030	975	0.0263991038125	0
155971	5599	1.93677163196e-09	0
51311	155971	0.00064867915	0
155030	286	5.41950798905e-07	0
6402	155971	1.48692358537e-07	0
156110	3932	0.0609742801281	0
10015	155030	0.0495878812066	0
387	155030	4.731796e-05	0
155807	55540	0.00295961783337	0
155971	3384	2.9465727e-07	0
155807	81559	0.0291483798274	0
5933	155971	1.0591995e-09	0
155807	347376	6.9027194e-11	0
904	155871	0.214937239808	0
155971	30835	0.0849481336459	0
3622	155908	1.7612974e-09	0
156110	7852	0.626117246487	0
920	155945	0.376743028702	0
10075	155348	2.70359215604e-06	0
155807	6596	0.99999707837	0
