E1	E2	Probability	Label
155459	60489	0.999999999952	0
202559	155908	0.00033373787	0
302	155030	0.999643784248	1
3107	156110	0.183036648728	0
3458	156110	0.00031139003	0
155030	4261	4.559117e-06	0
4594	156110	6.716572e-10	0
4734	155030	0.99780697	0
3576	155971	2.4315307e-08	0
155908	1653	0.996262491752	1
155030	5594	0.000340263423797	0
155971	3576	4.2124775e-08	0
155459	6921	0.558124560332	0
155971	1272	0.10100782	0
155908	7514	0.999948014103	1
1673	155871	0.00742737233366	0
155971	26996	0.0010170626	0
156110	356	0.92567730713	0
155459	8065	0.999675361168	0
3958	155871	0.00108233333311	0
6714	156110	3.7665568e-06	0
156110	3458	0.00031139003	0
100187828	155871	6.4484004e-12	0
155945	684	0.999999999975	1
155030	51014	2.4659336e-08	0
156110	1493	1.11377563849e-06	1
10462	155030	0.190938325489	0
3836	155807	0.0361067324916	0
1508	155030	0.382298422496	0
10959	155030	0.999930104972	0
684	155971	0.15307307	1
917	156110	1.0465811e-05	0
3661	155945	0.818372844469	1
155971	6347	0.978061913631	0
155030	4314	0.00075390615	0
156110	6347	1.7314703e-08	0
19	155971	0.9733011	0
155971	115362	0.698800656587	0
7852	156110	0.952638111802	1
155971	6351	0.99999905	0
6998	155971	0.00084089854	0
155030	100862696	0.759307908625	0
2028	155908	3.2475256e-10	0
155807	4790	3.3054041559e-05	0
347376	155030	0.807817873223	0
3502	155971	0.00854941860434	0
60489	155459	0.999999999328	0
100616444	155030	0.997784645076	0
155030	10015	0.999997936762	1
54106	155971	0.8675209	0
155030	148362	0.27913943	0
156110	7124	0.901158805082	0
100689229	155030	0.000138500120225	0
155030	100689229	7.14181374816e-05	0
155030	27074	1.6427981e-07	0
155030	10521	6.918586e-08	0
155030	100616444	0.999937461518	0
1387	155971	0.9698406	0
155945	5817	0.512196447706	0
6285	155908	0.101335467206	0
155971	801	0.998038059261	0
310	155030	3.524915e-06	0
1493	156110	2.75957291296e-06	1
155971	28910	0.99698204	0
155971	3586	1.61864255999e-07	0
6596	155807	0.00129105013651	0
155971	4153	0.0008738005	0
3732	155030	0.8501546	1
155971	974	5.3297794e-10	0
861	155459	0.303256382156	0
156110	238	3.523463e-09	0
1421	155030	0.077018775	0
156110	3106	0.510419980323	1
155971	3502	0.00401859752814	0
156110	5599	5.9877253e-10	0
79966	155971	0.028537877	0
155971	6387	1.0	0
155807	3916	0.99999845	0
653820	155807	3.5419996e-06	0
156110	256987	0.111135010493	0
821	155971	0.999414784878	1
155971	4780	0.504458091568	0
155030	684	0.11912002	1
155030	1629	2.92206883912e-07	0
155030	3565	0.00223801105549	0
8835	155459	0.0007931549	0
155348	8941	2.0911427e-08	0
155807	5886	0.931501797218	0
1109	155971	0.2131579	0
5621	155971	0.08691291	0
1669	155971	0.000582838449574	0
155971	51497	0.000359873829425	0
155971	10226	0.15620523945	0
2720	155971	0.30175894	0
19	156110	2.062244e-05	0
5594	155030	0.00109329459221	0
6402	155030	5.328085e-09	0
155807	3725	0.000555347922757	0
728378	155030	0.67519289796	0
155971	834	4.3455744e-05	0
156110	684	0.895983517014	0
347376	155807	4.788972e-09	0
27067	155908	0.0288670133497	0
865	155459	0.993877144219	0
155971	2745	0.688589044008	0
3558	155971	3.492753e-05	0
155807	836	0.004895091	0
22914	155945	0.00157371740048	0
156110	925	0.175838301902	1
256987	156110	0.122740093859	0
920	155971	1.0	1
155459	865	0.998534790701	0
347376	155971	0.000364199982756	0
155971	28299	0.909104910483	0
155971	2187	0.99132017804	0
10714	155348	7.1536255e-05	0
155030	3735	0.964492360256	0
156110	7253	0.00559389261211	0
156110	60489	0.024000282988	0
5478	155030	0.999994400987	0
973	155971	0.00017746419	0
155971	30816	1.61118881302e-05	0
6737	155030	1.6730532e-05	0
5478	156110	0.971252976797	0
156110	5817	0.631068904128	0
3178	155971	5.990896e-08	0
1029	155030	4.61756951726e-05	0
155971	4843	0.95693445	0
925	155459	0.30070814	0
155971	5122	0.999950160294	0
155971	51311	0.15529439	0
54205	155807	4.4525056e-08	0
6772	155971	1.9470197e-07	0
653820	155971	5.23760611881e-07	0
155971	19	0.9738227	0
148362	155030	0.25169215	0
155971	10959	0.898695073929	0
155971	10410	2.8914083e-05	1
25939	155807	5.93118909542e-09	0
7020	155971	0.996747578033	0
155030	6737	4.406564e-05	0
4869	155908	0.0886119420742	1
5713	155807	0.92731076	0
156110	4594	3.872985e-10	0
3777	155945	0.160662031931	0
155908	653108	6.26929386871e-06	0
155971	4790	4.871037e-12	0
156110	6285	0.998156041388	0
155030	4320	9.246015e-06	0
155908	6285	0.102605308611	0
155971	54106	0.7295864	0
155908	100271694	3.8549727e-10	0
100862696	155030	0.788678446213	0
155030	1421	0.06719902	0
3267	155908	0.2452939	0
155908	10492	0.00163591320248	0
155030	8941	3.0303844e-09	0
155807	25939	6.62416288488e-09	0
2332	155908	0.986185655993	0
8065	155459	0.999895144228	0
155807	842	8.190276e-05	0
155348	10714	2.0192296e-05	0
6426	155971	1.2415977213e-07	0
3385	155971	0.867871432207	0
155807	10980	0.99741733	0
155030	10959	0.999345528306	0
155945	1128	0.99770504	0
155459	200316	0.993811181227	1
5901	155030	0.99982554	0
155971	3700	0.999999988245	0
6998	155030	0.00023968893	0
3106	155030	0.999938559397	1
8941	155348	1.8497333e-08	0
3840	155807	0.28071380525	0
155030	7251	0.999854257033	1
684	155945	1.0	1
30816	155945	7.71377446362e-08	0
3700	155971	0.999999983914	0
155908	4869	0.0874721708357	1
