E1	E2	Probability	Label
155459	60489	1.0	1
202559	155908	0.31225705	0
302	155030	0.430477620568	0
3107	156110	0.764858740773	0
3458	156110	0.013241898	0
155030	4261	0.00026725876	0
4594	156110	1.8148352e-08	0
4734	155030	8.49222e-06	0
3576	155971	3.6998077e-07	0
155908	1653	0.983268309527	0
155030	5594	0.0253511484827	0
155971	3576	0.010142047	1
155459	6921	0.964592844893	0
155971	1272	0.0036839445	0
155908	7514	0.630340127778	0
1673	155871	3.7758119702e-06	0
155971	26996	0.0018104411	0
156110	356	0.17768762128	0
155459	8065	0.99956393769	0
3958	155871	0.690766548281	0
6714	156110	0.0010174279	0
156110	3458	0.013241898	1
100187828	155871	1.1792052e-05	0
155945	684	0.999999999997	1
155030	51014	1.6531305e-14	0
156110	1493	0.00919717244419	1
10462	155030	0.00748654476301	0
3836	155807	0.00429097566349	0
1508	155030	0.226195786384	0
10959	155030	0.982365033463	0
684	155971	0.0048578507	0
917	156110	0.009325419	0
3661	155945	0.254288602997	0
155971	6347	0.993963733736	1
155030	4314	0.0013836774	0
156110	6347	0.04577011	1
19	155971	6.531355e-06	0
155971	115362	0.993932422528	0
7852	156110	0.000391863157953	0
155971	6351	0.035796326	1
6998	155971	0.058931686	0
155030	100862696	0.193765969314	0
2028	155908	0.00014567243	0
155807	4790	0.0469771666247	1
347376	155030	0.991858386842	0
3502	155971	2.92534341774e-05	0
60489	155459	0.999997916133	0
100616444	155030	0.4158854374	0
155030	10015	0.188448636699	0
54106	155971	0.0027298746	0
155030	148362	1.9281438e-06	0
156110	7124	0.339003091093	1
100689229	155030	0.000587184558967	0
155030	100689229	0.000620195622952	0
155030	27074	6.082087e-06	0
155030	10521	0.005360059	0
155030	100616444	0.996755522174	0
1387	155971	1.9856021e-05	0
155945	5817	0.882246293268	1
6285	155908	0.701975499024	0
155971	801	0.999996479101	0
310	155030	1.0279705e-05	0
1493	156110	0.0010618483419	0
155971	28910	0.5569926	0
155971	3586	8.83755163419e-05	1
6596	155807	0.95812416867	0
155971	4153	1.1530458e-06	0
3732	155030	2.6718521e-06	0
155971	974	0.0043234173	1
861	155459	0.142106740484	0
156110	238	0.98486656	0
1421	155030	0.00030076914	0
156110	3106	0.920914577085	1
155971	3502	0.02586179772	0
156110	5599	0.005013742	1
79966	155971	0.0030384087	0
155971	6387	0.971858249997	1
155807	3916	0.9999913	1
653820	155807	7.670597e-05	0
156110	256987	0.998612348562	1
821	155971	0.000895127006491	0
155971	4780	0.711897430426	0
155030	684	0.00016906284	0
155030	1629	0.000548221767743	0
155030	3565	0.000527352023217	1
8835	155459	0.0025716226	0
155348	8941	1.1703858e-05	0
155807	5886	0.275222260468	1
1109	155971	9.55813e-07	0
